source_table,track_name,dataset_source,model_id,model_label,model_family,evidence_tier,headline_eligible,branch_relation,split_rule,n_processed_rows,n_unique_sequences,n_train,n_test_or_n,target_column,r2,rmse,mae,r2_ci_low,r2_ci_high,bootstrap_repeats
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B01_Ridge_GLM_style,B01_Ridge_GLM_style,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3365253605830203,6.372419563055435,4.532721877440811,-0.3455761226068017,-0.3287793055792585,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B02_ElasticNet_GLM,B02_ElasticNet_GLM,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.35247331665480974,6.410325951474356,4.627014502470729,-0.36105499604532343,-0.34499180052352835,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B03_NystroemKernelRidge_RBF,B03_NystroemKernelRidge_RBF,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.39003866247660035,6.498740569102299,4.742964627064694,-0.3981657866889459,-0.3823721039021992,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B04_ExtraTrees,B04_ExtraTrees,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3721190982467888,6.456715711391022,4.555675947909512,-0.3811514859878739,-0.36377860479579655,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B05_RandomForest,B05_RandomForest,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.35897306765243253,6.425710943771163,4.539527876937887,-0.3679010395028686,-0.3509514793248635,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B06_HistGradientBoosting,B06_HistGradientBoosting,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3791494941110838,6.473235877182677,4.542207684044392,-0.38894590853933214,-0.37001100942910936,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B07_Nystroem_SVR_like,B07_Nystroem_SVR_like,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3250872773733695,6.345093152331243,4.645867832817798,-0.33235274631190503,-0.318130762086408,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,B08_MLPRegressor,B08_MLPRegressor,external_baseline,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.40877413961663644,6.542390245369271,4.635250732094834,-0.41995197059087946,-0.39971021031966075,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,N01_T04_ObservableAlignment_ExtraTrees,N01_T04_ObservableAlignment_ExtraTrees,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3721190982467888,6.456715711391022,4.555675947909512,-0.381151485987874,-0.36377860479579655,300
PHASE5F_ALL_MODEL_CEILING_METRICS,Random_Promoter_DREAM_base_track,Random Promoter DREAM / MAUDE-derived,N02_T04_ObservableAlignment_HistGB,N02_T04_ObservableAlignment_HistGB,atlas_nonlinear_head,primary_headline,no,potential_duplicate_or_related,provided_split_column,150000,139904,60438.0,89562,target,-0.3787927508681317,6.472398610257154,4.541731727623953,-0.38858635465429664,-0.36965758295879647,300
